figure,panel_scope,current_source_folder,primary_files,status,notes
Fig1,study design and scRNA cohort,Fig01_study_design_scRNA_reference,Source_Data_Table_S1_scRNA_GEO_sample_manifest.csv; Source_Data_Table_S1_scRNA_GEO_accession_summary.csv; Source_Data_Table_S1_scRNA_GEO_disease_summary.csv,complete_for_cohort_manifest,Workflow schematic has no numeric source table; cohort provenance is indexed here.
Fig2,scRNA mregDC program,Fig02_scRNA_mregDC_program,scRNA_cell_marker_feature_matrix.tsv; scRNA_linear_SVM_marker_weights.tsv,partial,Marker and feature tables are included; CellChat and pseudotime panel-level exports should be added if required for full panel reproducibility.
Fig3,representative IF raw ROI counts,Fig03_representative_IF_raw_counts,Fig03_IF_ROI_raw_counts.csv; Fig03_IF_raw_count_summary.csv,complete_for_revised_claim,Current Fig3 source data report raw illustrative ROI counts only; legacy Fig4 filenames are retained only inside the archival legacy folder for traceability.
Fig4,Xenium spatial segmentation exemplar,Fig04_Xenium_spatial_segmentation,xenium_tls_program_scores_map_downsample.csv; xenium_tls_field_segmentation_summary.json; xenium_tls_field_object_metrics.csv; xenium_tls_field_grid_connected_components.csv; xenium_program_gene_availability.csv,complete_for_current_exemplar,Direct HLA-DRA is unavailable in Xenium; AP is proxy-based.
Fig5,multi-sample spatial coupling,Fig05_multi_sample_spatial_coupling,multi_sample_spatial_extended_sample_metrics_long.csv; multi_sample_spatial_extended_dataset_metric_summary.csv; multi_sample_spatial_extended_selected_map_samples.csv; multi_sample_spatial_extended_selected_map_spot_scores.csv; multi_sample_spatial_extended_selected_map_cohigh_overlay.csv; multi_sample_spatial_extended_exact_marker_availability.csv,complete_for_spatial_summary,Maps and sample-level coupling metrics are indexed under current Fig5.
Fig6,TLS decile and distance gradients,Fig06_TLS_distance_gradient,multi_sample_spatial_extended_tls_decile_summary.csv; multi_sample_spatial_extended_tls_decile_long.csv; multi_sample_spatial_extended_spot_scatter_downsample.csv; xenium_distance_to_tls_field_program_gradients.csv,complete_for_decile_distance,Distance summaries are descriptive spatial gradients and not causal specificity tests.
Fig7,ten-method immune deconvolution,Fig07_ten_method_immune_deconvolution,Fig07_immune_raw_with_TIMER_ABIS.tsv; Fig07_immune_correlations_with_TIMER_ABIS.tsv; Fig07_immune_10method_status_TIMER_ABIS.tsv; Fig07_CH_immune_method_atlas_source_matrix.csv; Fig07_CH_immune_method_atlas_TIMER_ABIS_source_matrix.csv; tcga_iobr_10method_raw.tsv; tcga_iobr_10method_correlations_with_IFcore.tsv; tcga_iobr_10method_status.tsv,complete_for_current_numbering,Ten-method deconvolution source tables are stored under current Fig7 numbering.
Fig8,patient-level composite scores,Fig08_patient_level_composite,Fig08_CH_patient_feature_atlas_source_matrix.csv; tcga_tls_patient_features.tsv; tcga_tls_risk_scores.tsv,complete_for_current_numbering,Exploratory TCGA-OV patient-level features and risk-score data.
Fig9,LASSO-Cox and internal model validation,Fig09_LASSO_Cox_internal_validation,tcga_tls_lasso_selected_features.tsv; Source_Data_Survival_LASSO_CV_curve.csv; Source_Data_Survival_LASSO_lambda_min_coefficients.csv; Source_Data_Survival_time_dependent_ROC_AUC.csv; Source_Data_Survival_time_dependent_ROC_curve.csv; Source_Data_Survival_calibration_by_quintile.csv; source_model_input_patients.csv; source_model_input_patients_with_gdc_clinical.csv; Source_Data_Survival_adjusted_Cox_sensitivity.csv; Source_Data_Survival_adjusted_Cox_covariate_coverage.csv,complete_internal_validation,Internal TCGA-OV validation plus GDC age/stage/grade sensitivity Cox; residual disease was too sparsely recorded for adjustment.
Fig10,scTenifoldKnk and CellOracle virtual perturbation,Fig10_virtual_perturbation,Fig10_CH_virtual_perturbation_matrix_source_matrix.csv; Source_Data_CellOracle_TF_perturbation_summary.tsv; Source_Data_CellOracle_target_gene_shifts.tsv,complete_for_current_numbering,CellOracle is TF-level perturbation; scTenifoldKnk handles marker/proxy virtual knockout.
Fig11,drug prioritization and docking audit,Fig11_drug_prioritization_docking,Fig11_CH_drug_vulnerability_matrix_source_matrix.csv,complete_for_current_numbering,Drug layer is computational prioritization and docking feasibility only.
FigS1,singleCellHaystack audit,FigS01_singleCellHaystack_audit,SourceData_FigS1_input_manifest.tsv; SourceData_FigS1_ranked_features.tsv; SourceData_FigS1_run_qc.tsv,complete,Supplementary spatial non-randomness audit.
FigS2,Hotspot audit,FigS02_Hotspot_audit,SourceData_FigS2_input_qc.tsv; SourceData_FigS2_Hotspot_autocorrelations.tsv; SourceData_FigS2_run_qc.tsv,complete,Hotspot local-correlation module step was not used for interpretation.
FigS3,Xenium spatial maps,FigS03_Xenium_spatial_maps,FigureS3_Xenium_spatial_maps-re.pdf; Hotspot_spatial_maps_user_screenshot.png; singleCellHaystack_spatial_maps_user_screenshot.png; README.md,complete,Rendered supplemental spatial-map source bundle.
FigS4,multi-sample spatial support,FigS04_multi_sample_spatial_source,multi_sample_spatial_extended_dataset_metric_summary.csv; multi_sample_spatial_extended_gene_coverage_fraction.csv; multi_sample_spatial_extended_selected_marker_expression_maps.csv; multi_sample_spatial_extended_sample_metrics_long.csv,complete,Multi-sample spatial source tables and platform coverage.
FigS5,model validation,FigS05_model_validation,source_model_input_patients.csv; source_LASSO_CV_curve.csv; source_LASSO_lambda_min_coefficients.csv; source_time_dependent_ROC_AUC.csv; source_time_dependent_ROC_curve.csv; source_calibration_by_quintile.csv,complete,Internal validation source data.
FigS6,immune-richness specificity audit,FigS06_specificity_adjustment,partial_correlation_results_combined.csv; immune_control_definitions.csv; specificity_compact_plot_values.csv; tcga_adjusted_regression_results.csv,complete,Contains the Xenium adjusted partial rho = -0.025 mregDC-TLS result.
Tables,S1-S3 and gene coverage,Tables_signature_and_GEO,Supplementary_Table_S1_scRNA_GEO_sources.xlsx; Supplementary_Table_S2_signature_definitions_and_gene_coverage.xlsx; Supplementary_Table_S3_spatial_and_10x_dataset_accessions.xlsx; Supplementary_Table_S3_spatial_and_10x_dataset_accessions.csv; signature_definitions.csv; signature_label_crosswalk.csv; multi_sample_spatial_gene_coverage_reconciled.csv; xenium_program_gene_availability.csv,complete,Supplementary table, public dataset accession, and signature coverage source bundle.
