component,scope,relative_or_project_path,status,notes
manuscript_package_build,LaTeX package assembly,code/build_jtm_submission_package.py,included,Legacy Springer Nature assembly script retained for provenance; current Cancers manuscript files are provided under manuscript/.
figure_upload_compression,review-upload figure compression,code/create_jtm_compressed_figures.py,included,Legacy review-upload figure compression script retained for provenance; current Cancers figure PDFs are provided under figures_for_review/.
tcga_ov_clinical_fetch,GDC clinical covariate retrieval,code/fetch_tcga_ov_clinical_for_adjusted_cox.py,included,Fetches TCGA-OV age/stage/grade/residual-disease fields from the GDC API and merges them with the Fig9 model cohort.
adjusted_cox_sensitivity,age/stage/grade Cox sensitivity,code/run_adjusted_cox_sensitivity.R,included,Runs risk-score-only and age/stage/grade-adjusted Cox sensitivity models; residual disease is audited but excluded because of sparse reporting.
supplementary_table_s3,public spatial and 10x dataset accessions,code/make_supplementary_table_s3_dataset_accessions.py,included,Builds Supplementary Table S3 from the 23-sample spatial source table and public 10x dataset metadata.
supplementary_figure_revision,S1-S3 supplementary figure redraw,E:/Reserch/MregDC/supplementary_figure_revision_20260601,available_locally,Contains Python scripts used for revised supplementary spatial figures.
xenium_tls_segmentation,Fig4 and Fig6 spatial TLS segmentation/gradients,E:/Reserch/MregDC/science_tls_style_rebuild_20260530/04_new_fig_order_document/Scripts_and_SourceData,available_locally,Includes 01_xenium_tls_field_segmentation.py and 02_draw_science_style_panels.R plus source tables.
science_tls_redraw,Science TLS style redraw layer,E:/Reserch/MregDC/science_tls_atlas_style_redraw_final_20260530/04_scripts,available_locally,Contains the R redraw scripts used during Science TLS atlas style porting.
multi_sample_spatial,23-sample spatial extension,E:/Reserch/MregDC/analysis_rebuild_20260520/22_yzgc_spatial_extended_20260528,available_locally,Contains R scripts and panel manifests for multi-sample spatial support.
fig5_8_original_r_panels,early Fig5-Fig8 source panels and QC,E:/Reserch/MregDC/analysis_rebuild_20260520/11_main_fig5_8_R_20260523,available_locally,Contains QC tables for immune, patient, and perturbation panels.
celloracle_full_method,CellOracle environment and outputs,E:/Reserch/MregDC/analysis_rebuild_20260520/16_full_method_integration_20260527,available_locally,Method-specific environment and outputs retained locally; public repository DOI still needed.
public_repository,public archival code URL,https://github.com/Luciky-Leo/Luciky-Leo-mregdc-tls-ov and https://doi.org/10.5281/zenodo.20523737,complete,Public GitHub repository and Zenodo DOI for the reviewer-facing reproducibility package.
main_figure_panel_source_map,R1 figure-panel to script/source-data map,code/figure_panel_script_source_map_repo.csv,included,Maps every main figure panel group to a runnable validation script and deposited source-data file(s).
main_figure_source_validation,R1 panel source-data validation script,code/validate_main_figure_panel_sources.py,included,Validates that every mapped source-data table used for main figure panel support exists in the reviewer-facing repository.
main_figure_source_validation_report,R1 validation output,code/output/panel_source_validation_report.csv,included,Machine-readable output from validate_main_figure_panel_sources.py; all 47 mapped source-file checks are expected to return exists.
fig1_scRNA_reference_code,Fig1 analysis script,code/fig1_scRNA_reference.py,included,Generates reviewer-checkable scRNA cohort provenance and disease/accession summaries from deposited Fig1 source-data tables.
fig1_scRNA_reference_output,Fig1 analysis output,code/output/fig1_scRNA_reference,included,Contains Fig1 disease/accession/sample-summary outputs from fig1_scRNA_reference.py.
fig2_mregDC_program_code,Fig2 analysis script,code/fig2_mregDC_program.py,included,Generates reviewer-checkable marker/program and SVM-weight summaries from deposited Fig2 source-data tables.
fig2_mregDC_program_output,Fig2 analysis output,code/output/fig2_mregDC_program,included,Contains Fig2 marker summary and SVM-weight outputs from fig2_mregDC_program.py.
if_channel_availability_audit,R1 IF raw-channel gate,docs/IF_CHANNEL_AVAILABILITY_AUDIT.md,included,Documents the Gate A audit showing that raw separated IF channel stacks were not available for formal Pearson/Manders co-localization analysis.
r1_added_analysis_prespec,R1 added-analysis pre-specification,docs/R1_ADDED_ANALYSIS_PRESPEC.md,included,Pre-specifies the inavolisib/PIK3CA and organ-origin analyses and records the data-availability fallback to avoid unsupported testing.


